id,device_id,ts,activity,pp1,pp2,pp3,grassIndex,recipient,sender,time,treeIndex,weedIndex
124,-1,2022-06-09T16:36:42,,webclient_1654785335736,,,51.0,"allergy_old_pollen_data","webclient_1654785335736",1.65274918E9,221.0,9.0
125,-1,2022-06-09T16:36:42,,webclient_1654785335736,,,84.0,"allergy_old_pollen_data","webclient_1654785335736",1.65275277E9,366.0,14.0
126,-1,2022-06-09T16:36:43,,webclient_1654785335736,,,38.0,"allergy_old_pollen_data","webclient_1654785335736",1.65275635E9,217.0,15.0
127,-1,2022-06-09T16:36:43,,webclient_1654785335736,,,49.0,"allergy_old_pollen_data","webclient_1654785335736",1.65276006E9,234.0,26.0
128,-1,2022-06-09T16:36:44,,webclient_1654785335736,,,59.0,"allergy_old_pollen_data","webclient_1654785335736",1.65276365E9,299.0,29.0
129,-1,2022-06-09T16:36:44,,webclient_1654785335736,,,63.0,"allergy_old_pollen_data","webclient_1654785335736",1.65276723E9,303.0,34.0
130,-1,2022-06-09T16:36:45,,webclient_1654785335736,,,87.0,"allergy_old_pollen_data","webclient_1654785335736",1.6527744E9,376.0,15.0
131,-1,2022-06-09T16:36:46,,webclient_1654785335736,,,58.0,"allergy_old_pollen_data","webclient_1654785335736",1.65277798E9,254.0,10.0
132,-1,2022-06-09T16:36:46,,webclient_1654785335736,,,36.0,"allergy_old_pollen_data","webclient_1654785335736",1.65278157E9,206.0,15.0
133,-1,2022-06-09T16:36:47,,webclient_1654785335736,,,47.0,"allergy_old_pollen_data","webclient_1654785335736",1.65278515E9,226.0,25.0
134,-1,2022-06-09T16:36:47,,webclient_1654785335736,,,41.0,"allergy_old_pollen_data","webclient_1654785335736",1.65278874E9,209.0,20.0
